Grupo	Seleccion	Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
H	Uruguay	3	Diego Godín	Diego Godín	Centre-Back	36	CA Vélez Sarsfield	€700k
H	Uruguay	16	Mathías Olivera	Mathías Olivera	Left-Back	25	SSC Napoli	€15.00m
H	Uruguay	13	Guillermo Varela	Guillermo Varela	Right-Back	29	Clube de Regatas do Flamengo	€2.00m
H	Uruguay	25	Manuel Ugarte	Manuel Ugarte	Defensive Midfield	21	Sporting CP	€18.00m
H	Uruguay	15	Federico Valverde	Federico Valverde	Central Midfield	24	Real Madrid	€100.00m
H	Uruguay	7	Nicolás de la Cruz	Nicolás de la Cruz	Central Midfield	25	CA River Plate	€13.00m
H	Uruguay	10	Giorgian de Arrascaeta	Giorgian de Arrascaeta	Attacking Midfield	28	Clube de Regatas do Flamengo	€19.00m
H	Uruguay	24	Agustín Canobbio	Agustín Canobbio	Right Winger	24	Club Athletico Paranaense	€4.00m
H	Uruguay	11	Darwin Núñez	Darwin Núñez	Centre-Forward	23	Liverpool FC	€70.00m
H	Uruguay	21	Edinson Cavani	Edinson Cavani	Centre-Forward	35	Valencia CF	€5.00m
H	Uruguay	23	Sergio Rochet	Sergio Rochet	Goalkeeper	29	Club Nacional	€4.00m
H	Uruguay	1	Fernando Muslera	Fernando Muslera	Goalkeeper	36	Galatasaray	€1.70m
H	Uruguay	4	Ronald Araújo	Ronald Araújo	Centre-Back	23	FC Barcelona	€60.00m
H	Uruguay	19	Sebastián Coates	Sebastián Coates	Centre-Back	32	Sporting CP	€6.00m
H	Uruguay	22	Martín Cáceres	Martín Cáceres	Centre-Back	35	Los Angeles Galaxy	€500k
H	Uruguay	17	Matías Viña	Matías Viña	Left-Back	25	AS Roma	€6.00m
H	Uruguay	26	José Luis Rodríguez	José Luis Rodríguez	Right-Back	25	Club Nacional	€2.00m
H	Uruguay	14	Lucas Torreira	Lucas Torreira	Defensive Midfield	26	Galatasaray	€15.00m
H	Uruguay	6	Rodrigo Bentancur	Rodrigo Bentancur	Central Midfield	25	Tottenham Hotspur	€40.00m
H	Uruguay	5	Matías Vecino	Matías Vecino	Central Midfield	31	SS Lazio	€4.50m
H	Uruguay	20	Facundo Torres	Facundo Torres	Left Winger	22	Orlando City SC	€8.00m
H	Uruguay	8	Facundo Pellistri	Facundo Pellistri	Right Winger	20	Manchester United	€3.00m
H	Uruguay	18	Maxi Gómez	Maxi Gómez	Centre-Forward	26	Trabzonspor	€7.50m
H	Uruguay	9	Luis Suárez	Luis Suárez	Centre-Forward	35	Club Nacional	€4.00m
H	Korea Republic	21	Hyeon-woo Jo	Hyeon-woo Jo	Goalkeeper	31	Ulsan Hyundai	€1.30m
H	Korea Republic	1	Seung-gyu Kim	Seung-gyu Kim	Goalkeeper	32	Al-Shabab Club (Riyadh)	€900k
H	Korea Republic	20	Kyung-won Kwon	Kyung-won Kwon	Centre-Back	30	Gamba Osaka	€800k
H	Korea Republic	19	Young-gwon Kim	Young-gwon Kim	Centre-Back	32	Ulsan Hyundai	€600k
H	Korea Republic	14	Chul Hong	Chul Hong	Left-Back	32	Daegu FC	€500k
H	Korea Republic	23	Tae-hwan Kim	Tae-hwan Kim	Right-Back	33	Ulsan Hyundai	€900k
H	Korea Republic	13	Jun-ho Son	Jun-ho Son	Defensive Midfield	30	Shandong Taishan	€3.50m
H	Korea Republic	6	In-beom Hwang	In-beom Hwang	Central Midfield	26	Olympiacos Piraeus	€3.50m
H	Korea Republic	18	Kang-in Lee	Kang-in Lee	Attacking Midfield	21	RCD Mallorca	€12.00m
H	Korea Republic	7	Heung-min Son	Heung-min Son	Left Winger	30	Tottenham Hotspur	€70.00m
H	Korea Republic	17	Sang-ho Na	Sang-ho Na	Left Winger	26	FC Seoul	€900k
H	Korea Republic	25	Woo-yeong Jeong	Woo-yeong Jeong	Second Striker	23	SC Freiburg	€5.50m
H	Korea Republic	16	Ui-jo Hwang	Ui-jo Hwang	Centre-Forward	30	Olympiacos Piraeus	€5.00m
H	Korea Republic	21	Hyeon-woo Jo	Hyeon-woo Jo	Goalkeeper	31	Ulsan Hyundai	€1.30m
H	Korea Republic	12	Bum-keun Song	Bum-keun Song	Goalkeeper	25	Jeonbuk Hyundai Motors	€1.10m
H	Korea Republic	4	Min-jae Kim	Min-jae Kim	Centre-Back	26	SSC Napoli	€35.00m
H	Korea Republic	24	Yu-min Cho	Yu-min Cho	Centre-Back	26	Daejeon Hana Citizen	€700k
H	Korea Republic	3	Jin-su Kim	Jin-su Kim	Left-Back	30	Jeonbuk Hyundai Motors	€575k
H	Korea Republic	15	Moon-hwan Kim	Moon-hwan Kim	Right-Back	27	Jeonbuk Hyundai Motors	€950k
H	Korea Republic	2	Jong-gyu Yoon	Jong-gyu Yoon	Right-Back	24	FC Seoul	€650k
H	Korea Republic	5	Woo-young Jung	Woo-young Jung	Defensive Midfield	32	Al-Sadd SC	€600k
H	Korea Republic	8	Seung-ho Paik	Seung-ho Paik	Central Midfield	25	Jeonbuk Hyundai Motors	€1.00m
H	Korea Republic	10	Jae-sung Lee	Jae-sung Lee	Attacking Midfield	30	1.FSV Mainz 05	€3.00m
H	Korea Republic	26	Min-kyu Song	Min-kyu Song	Left Winger	23	Jeonbuk Hyundai Motors	€1.20m
H	Korea Republic	22	Chang-hoon Kwon	Chang-hoon Kwon	Right Winger	28	Gimcheon Sangmu	€900k
H	Korea Republic	11	Hee-chan Hwang	Hee-chan Hwang	Centre-Forward	26	Wolverhampton Wanderers	€12.00m
H	Korea Republic	9	Gue-sung Cho	Gue-sung Cho	Centre-Forward	24	Jeonbuk Hyundai Motors	€1.40m
