Grupo	Seleccion	Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
B	Iran	24	Hossein Hosseini	Hossein Hosseini	Goalkeeper	30	Esteghlal FC	€525k
B	Iran	12	Payam Niazmand	Payam Niazmand	Goalkeeper	27	Sepahan FC	€500k
B	Iran	19	Majid Hosseini	Majid Hosseini	Centre-Back	26	Kayserispor	€3.00m
B	Iran	13	Hossein Kanaani	Hossein Kanaani	Centre-Back	28	Al-Ahli SC	€2.00m
B	Iran	8	Morteza Pouraliganji	Morteza Pouraliganji	Centre-Back	30	Persepolis FC	€700k
B	Iran	4	Shoja Khalilzadeh	Shoja Khalilzadeh	Centre-Back	33	Al-Ahli SC	€300k
B	Iran	5	Milad Mohammadi	Milad Mohammadi	Left-Back	29	AEK Athens	€2.00m
B	Iran	3	Ehsan Hajsafi	Ehsan Hajsafi	Left-Back	32	AEK Athens	€800k
B	Iran	25	Abolfazl Jalali	Abolfazl Jalali	Left-Back	24	Esteghlal FC	€400k
B	Iran	2	Sadegh Moharrami	Sadegh Moharrami	Right-Back	26	GNK Dinamo Zagreb	€2.00m
B	Iran	23	Ramin Rezaeian	Ramin Rezaeian	Right-Back	32	Sepahan FC	€450k
B	Iran	15	Roozbeh Cheshmi	Roozbeh Cheshmi	Defensive Midfield	29	Esteghlal FC	€500k
B	Iran	6	Saeid Ezatolahi	Saeid Ezatolahi	Defensive Midfield	26	Vejle Boldklub	€400k
B	Iran	21	Ahmad Nourollahi	Ahmad Nourollahi	Central Midfield	29	FC Shabab Al-Ahli Dubai	€2.00m
B	Iran	18	Ali Karimi	Ali Karimi	Central Midfield	28	Kayserispor	€100k
B	Iran	14	Saman Ghoddos	Saman Ghoddos	Attacking Midfield	29	Brentford FC	€2.20m
B	Iran	16	Mehdi Torabi	Mehdi Torabi	Left Winger	28	Persepolis FC	€800k
B	Iran	11	Vahid Amiri	Vahid Amiri	Left Winger	34	Persepolis FC	€350k
B	Iran	7	Alireza Jahanbakhsh	Alireza Jahanbakhsh	Right Winger	29	Feyenoord Rotterdam	€3.00m
B	Iran	17	Ali Gholizadeh	Ali Gholizadeh	Right Winger	26	RSC Charleroi	€2.00m
B	Iran	9	Mehdi Taremi	Mehdi Taremi	Centre-Forward	30	FC Porto	€20.00m
B	Iran	20	Sardar Azmoun	Sardar Azmoun	Centre-Forward	27	Bayer 04 Leverkusen	€12.00m
B	Iran	10	Karim Ansarifard	Karim Ansarifard	Centre-Forward	32	Omonia Nicosia	€1.00m
B	Estados Unidos	1	Matt Turner	Matt Turner	Goalkeeper	28	Arsenal FC	€5.00m
B	Estados Unidos	25	Sean Johnson	Sean Johnson	Goalkeeper	33	New York City FC	€1.50m
B	Estados Unidos	12	Ethan Horvath	Ethan Horvath	Goalkeeper	27	Luton Town	€1.00m
B	Estados Unidos	20	Cameron Carter-Vickers	Cameron Carter-Vickers	Centre-Back	24	Celtic FC	€9.50m
B	Estados Unidos	3	Walker Zimmerman	Walker Zimmerman	Centre-Back	29	Nashville SC	€3.50m
B	Estados Unidos	15	Aaron Long	Aaron Long	Centre-Back	30	New York Red Bulls	€3.00m
B	Estados Unidos	13	Tim Ream	Tim Ream	Centre-Back	35	Fulham FC	€1.00m
B	Estados Unidos	5	Antonee Robinson	Antonee Robinson	Left-Back	25	Fulham FC	€10.00m
B	Estados Unidos	2	Sergiño Dest	Sergiño Dest	Right-Back	22	AC Milan	€16.00m
B	Estados Unidos	26	Joe Scally	Joe Scally	Right-Back	19	Borussia Mönchengladbach	€12.00m
B	Estados Unidos	22	DeAndre Yedlin	DeAndre Yedlin	Right-Back	29	Inter Miami CF	€2.00m
B	Estados Unidos	18	Shaq Moore	Shaq Moore	Right-Back	26	Nashville SC	€1.00m
B	Estados Unidos	4	Tyler Adams	Tyler Adams	Defensive Midfield	23	Leeds United	€17.00m
B	Estados Unidos	23	Kellyn Acosta	Kellyn Acosta	Defensive Midfield	27	Los Angeles FC	€3.00m
B	Estados Unidos	8	Weston McKennie	Weston McKennie	Central Midfield	24	Juventus FC	€21.00m
B	Estados Unidos	6	Yunus Musah	Yunus Musah	Central Midfield	19	Valencia CF	€20.00m
B	Estados Unidos	17	Cristian Roldán	Cristian Roldán	Central Midfield	27	Seattle Sounders FC	€6.00m
B	Estados Unidos	14	Luca de la Torre	Luca de la Torre	Central Midfield	24	Celta de Vigo	€2.00m
B	Estados Unidos	7	Giovanni Reyna	Giovanni Reyna	Attacking Midfield	20	Borussia Dortmund	€35.00m
B	Estados Unidos	11	Brenden Aaronson	Brenden Aaronson	Attacking Midfield	22	Leeds United	€30.00m
B	Estados Unidos	16	Jordan Morris	Jordan Morris	Left Winger	28	Seattle Sounders FC	€4.50m
B	Estados Unidos	10	Christian Pulisic	Christian Pulisic	Right Winger	24	Chelsea FC	€38.00m
B	Estados Unidos	21	Timothy Weah	Timothy Weah	Centre-Forward	22	LOSC Lille	€12.00m
B	Estados Unidos	24	Josh Sargent	Josh Sargent	Centre-Forward	22	Norwich City	€12.00m
B	Estados Unidos	9	Jesús Ferreira	Jesús Ferreira	Centre-Forward	21	FC Dallas	€8.00m
B	Estados Unidos	19	Haji Wright	Haji Wright	Centre-Forward	24	Antalyaspor	€3.40m
B	Gales	12	Danny Ward	Danny Ward	Goalkeeper	29	Leicester City	€8.00m
B	Gales	1	Wayne Hennessey	Wayne Hennessey	Goalkeeper	35	Nottingham Forest	€500k
B	Gales	21	Adam Davies	Adam Davies	Goalkeeper	30	Sheffield United	€500k
B	Gales	6	Joe Rodon	Joe Rodon	Centre-Back	25	Stade Rennais FC	€9.00m
B	Gales	15	Ethan Ampadu	Ethan Ampadu	Centre-Back	22	Spezia Calcio	€9.00m
B	Gales	24	Ben Cabango	Ben Cabango	Centre-Back	22	Swansea City	€8.00m
